,artist_name,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,accousticness,instrumentalness,liveness,valence,tempo,popularity,cluster
68,Bliss n Eso,Art House Audio,2010-07-30,0.5720000000000001,0.866,2,-5.695,1,0.29,0.231,2.1000000000000002e-06,0.327,0.8390000000000001,89.91799999999999,0,7
69,Bliss n Eso,Party At My Place,2006-01-01,0.708,0.8190000000000001,11,-4.062,0,0.27899999999999997,0.0742,0.0,0.3,0.816,96.764,0,7
70,Aminé,REDMERCEDES,2017-03-03,0.8029999999999999,0.642,1,-5.879,0,0.21899999999999997,0.00629,0.0256,0.182,0.602,102.031,0,7
71,Joey Purp,Girls @ (feat. Chance the Rapper),2016-07-15,0.9390000000000001,0.579,4,-6.1610000000000005,0,0.271,0.00835,4.7799999999999996e-05,0.0914,0.635,110.031,47,2
72,Tyga,Eyes Closed,2017-05-05,0.89,0.631,3,-8.746,0,0.344,0.11,0.00020299999999999997,0.11800000000000001,0.541,150.024,0,2
73,Kid Cudi,Day 'N' Nite (nightmare),2009-01-01,0.8809999999999999,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.11900000000000001,0.804,138.014,64,1
74,Post Malone,Congratulations,2016-12-09,0.629,0.8170000000000001,6,-4.261,1,0.0357,0.19899999999999998,0.0,0.317,0.466,123.087,4,7
75,Big Boi,Shutterbugg,2010-01-01,0.611,0.902,2,-5.212999999999999,1,0.353,0.29100000000000004,0.0,0.125,0.52,98.25200000000001,0,7
76,Joey Bada$$,DEVASTATED,2017-04-07,0.812,0.628,10,-6.164,0,0.0682,0.0634,0.0,0.254,0.485,123.00399999999999,11,7
77,Future,Mask Off (feat. Kendrick Lamar) - Remix,2017-05-23,0.727,0.431,2,-12.007,1,0.395,0.0111,0.0166,0.506,0.223,150.005,65,2
78,Lil Uzi Vert,XO TOUR Llif3,2017-03-24,0.732,0.75,11,-6.3660000000000005,0,0.231,0.00264,0.0,0.109,0.401,155.096,5,7
79,Travis Scott,goosebumps,2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,89,5
80,Travis Scott,BUTTERFLY EFFECT,2017-05-18,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.11199999999999999,0.182,140.987,2,7
81,B.o.B,Airplanes (feat. Hayley Williams),2010-04-27,0.66,0.867,6,-4.285,0,0.11599999999999999,0.11,0.0,0.0368,0.377,93.03299999999999,75,1
82,Post Malone,Congratulations - Remix,2017-06-16,0.721,0.732,10,-4.406000000000001,0,0.075,0.20600000000000002,0.0,0.486,0.518,123.088,0,7
83,Rob $tone,"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)",2016-08-26,0.828,0.49,11,-9.277999999999999,1,0.0593,0.0336,2.71e-05,0.0867,0.27899999999999997,107.96799999999999,58,5
84,Playboi Carti,Magnolia,2017-04-14,0.795,0.584,11,-7.322,0,0.29,0.0115,0.0,0.52,0.452,163.005,0,2
85,XXXTENTACION,Look At Me!,2017-02-20,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,82,5
86,Drake,Portland,2017-03-18,0.925,0.44299999999999995,1,-8.216000000000001,1,0.264,0.0172,0.0,0.276,0.35,136.078,72,2
87,Lupe Fiasco,The Show Goes On,2010-10-25,0.596,0.91,7,-3.2030000000000003,1,0.115,0.0207,0.0,0.182,0.629,143.097,41,3
88,Lupe Fiasco,Little Weapon (feat. Bishop G & Nikki Jean),2007-01-01,0.723,0.8079999999999999,11,-6.32,0,0.203,0.0746,0.0,0.196,0.336,109.958,47,1
89,Eminem,Love The Way You Lie,2010-06-18,0.746,0.922,10,-5.013999999999999,1,0.23600000000000002,0.24600000000000002,0.0,0.515,0.638,86.961,1,7
90,Drake,Energy,2015-02-12,0.748,0.5710000000000001,11,-7.916,1,0.478,0.38,0.0,0.534,0.5529999999999999,172.105,0,2
91,Meek Mill,R.I.C.O. (feat. Drake),2015-06-29,0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.21899999999999997,0.386,167.90900000000002,71,2
92,Tyga,Gucci Snakes,2016-09-09,0.7020000000000001,0.695,11,-7.365,0,0.257,0.0636,0.0,0.376,0.5329999999999999,150.003,0,2
93,Tyga,Switch Lanes,2013-01-01,0.7609999999999999,0.851,10,-4.371,0,0.23399999999999999,0.556,0.000545,0.10400000000000001,0.46299999999999997,92.486,63,1
94,Wynter Gordon,Dirty Talk,2010-02-18,0.6890000000000001,0.789,11,-5.459,1,0.0342,0.0342,0.0012900000000000001,0.10400000000000001,0.895,130.01,57,1
95,Dave,100M's,2017-05-26,0.7040000000000001,0.73,6,-6.709,0,0.276,0.151,0.0,0.10300000000000001,0.753,147.08100000000002,54,1
96,P Money,Back To Back,2017-04-28,0.794,0.825,8,-5.756,1,0.311,0.529,0.0,0.0668,0.899,140.032,40,1
97,Cadet,Corn,2016-12-02,0.564,0.67,1,-6.7860000000000005,1,0.41100000000000003,0.17600000000000002,0.0,0.121,0.509,149.656,0,2
98,AJ Tracey,False 9,2017-07-01,0.461,0.8190000000000001,0,-5.841,1,0.353,0.107,0.0,0.084,0.7709999999999999,140.907,1,3
